,med_scores,record_idx,f1_scores
80580,14.5,15128,0.5
80582,15.25,15128,0.5
80584,15.25,15128,0.5
80586,20.0,15129,1.0
80588,20.0,15129,1.0
80590,20.0,15129,1.0
80592,19.25,15130,0.0
80594,14.5,15130,0.0
80596,12.5,15130,1.0
80598,11.75,15131,0.5
80600,11.75,15131,0.5
80602,18.0,15132,0.5
80604,24.75,15132,0.0
80606,18.0,15132,0.5
80608,20.0,15133,1.0
80610,20.0,15133,1.0
80612,12.5,15134,1.0
80614,13.0,15134,0.5
80616,20.0,15135,1.0
80618,20.0,15135,1.0
80620,20.0,15135,1.0
80622,21.75,15136,0.5
80624,20.5,15136,1.0
80626,21.75,15136,0.5
80628,10.25,15137,0.5
80630,10.25,15137,0.0
80632,10.25,15137,0.5
80634,9.0,15138,1.0
80636,9.0,15138,1.0
80638,9.0,15138,1.0
80640,6.5,15139,1.0
80642,6.5,15139,1.0
80644,17.25,15139,0.0
80646,17.5,15140,1.0
80648,17.5,15140,1.0
80650,17.5,15140,1.0
80652,14.25,15141,0.5
80654,14.25,15141,0.5
80656,12.0,15142,1.0
80658,13.0,15142,0.0
80660,12.0,15142,1.0
80662,9.25,15143,0.5
80664,12.25,15143,0.0
80666,13.5,15143,0.0
80668,12.0,15144,1.0
80670,19.833333333333332,15144,0.4
80672,12.0,15144,1.0
80674,19.0,15145,1.0
80676,22.25,15145,0.5
80678,27.0,15145,0.0
80680,13.0,15146,1.0
80682,19.5,15146,0.0
80684,15.5,15146,0.0
80686,11.0,15147,0.5
80688,11.0,15147,0.5
80690,9.75,15148,0.5
80692,10.0,15148,0.5
80694,13.0,15149,1.0
80696,13.0,15149,1.0
80698,13.25,15149,0.5
80700,15.75,15150,0.5
80702,14.5,15150,1.0
80704,14.5,15150,1.0
80706,16.0,15151,0.0
80708,5.5,15151,0.5
80710,27.0,15152,1.0
80712,30.75,15152,0.5
80714,27.0,15152,1.0
80716,9.5,15153,0.5
80718,8.0,15153,1.0
80720,41.5,15154,0.4
80722,41.0,15154,0.5
80724,41.0,15154,0.5
80726,15.25,15155,0.5
80728,13.0,15155,1.0
80730,13.5,15156,1.0
80732,13.5,15156,1.0
80734,13.5,15156,1.0
80736,10.0,15157,1.0
80738,10.25,15157,0.5
80740,10.0,15157,1.0
80742,9.75,15158,0.5
80744,10.0,15158,0.5
80746,9.5,15158,1.0
80748,7.5,15159,1.0
80750,7.5,15159,1.0
80752,7.5,15159,1.0
80754,8.75,15160,0.5
80756,8.5,15160,1.0
80758,11.0,15161,1.0
80760,11.0,15161,1.0
80762,11.5,15162,1.0
80764,36.0,15162,0.0
80766,9.0,15163,1.0
80768,9.0,15163,1.0
80770,18.5,15164,1.0
80772,20.0,15164,0.5
80774,20.0,15164,0.5
80776,8.5,15165,1.0
80778,8.5,15165,1.0
80780,8.5,15165,1.0
80782,8.0,15166,1.0
80784,8.0,15166,1.0
80786,8.0,15166,1.0
80788,9.0,15167,1.0
80790,9.0,15167,1.0
80792,9.0,15167,0.6666666666666666
80794,14.0,15168,1.0
80796,14.0,15168,1.0
80798,11.0,15169,1.0
80800,11.0,15169,1.0
80802,11.0,15169,1.0
80804,39.25,15170,0.0
80806,50.0,15170,0.0
80808,41.75,15170,0.0
80810,15.75,15171,0.5
80812,14.5,15171,0.5
80814,17.25,15171,0.5
80816,8.0,15172,1.0
80818,8.25,15172,0.5
80820,8.25,15172,0.5
80822,22.25,15173,0.5
80824,22.25,15173,0.5
80826,22.25,15173,0.5
80828,10.5,15174,1.0
80830,10.5,15174,1.0
80832,16.0,15174,0.5
80834,21.5,15175,1.0
80836,21.5,15175,1.0
80838,18.0,15176,1.0
80840,18.0,15176,1.0
80842,18.0,15176,1.0
