,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
1258,0.9898920655250549,0.9818387627601624,0.9858489632606506,71.03774162574219,"[23, 20, 14, 10]","[23, 22, 21, 20]","[100.0, 90.9090909090909, 66.66666666666667, 50.0]",0.9574533680683809,23,24,1.0,0.8947368421052632,0.9,0.9
1259,0.9618566036224365,0.9450265765190125,0.953367292881012,81.03254327699109,"[22, 21, 17, 14]","[24, 23, 22, 21]","[91.66666666666667, 91.30434782608695, 77.27272727272727, 66.66666666666667]",1.0,24,24,0.8837209302325582,0.7317073170731706,0.8372093023255814,0.8372093023255814
1260,0.973874568939209,0.9623985290527344,0.9681025147438049,61.55027625105317,"[32, 24, 16, 13]","[34, 33, 32, 31]","[94.11764705882354, 72.72727272727273, 50.0, 41.935483870967744]",1.0,34,34,0.9333333333333333,0.6551724137931034,0.7333333333333333,0.7333333333333333
1261,0.9234482049942017,0.9245481491088867,0.9222049713134766,55.06083283927118,"[31, 20, 15, 11]","[34, 33, 32, 31]","[91.17647058823529, 60.60606060606061, 46.875, 35.483870967741936]",1.0,34,33,0.8253968253968254,0.5573770491803278,0.6545454545454547,0.6545454545454547
1262,0.9282097220420837,0.9038000106811523,0.9158421754837036,51.34546469626383,"[24, 18, 14, 10]","[28, 27, 26, 25]","[85.71428571428571, 66.66666666666667, 53.84615384615385, 40.0]",0.8668778997501817,28,32,0.7857142857142856,0.5185185185185185,0.6428571428571429,0.6428571428571429
1263,0.9610261917114258,0.9532297849655151,0.9571121335029602,81.39456688096834,"[31, 27, 22, 18]","[31, 30, 29, 28]","[100.0, 90.0, 75.86206896551724, 64.28571428571429]",1.0,31,31,0.9454545454545454,0.7924528301886793,0.7636363636363636,0.7636363636363636
1264,0.9906073808670044,0.990039587020874,0.9836525917053223,100.00000000000004,"[16, 15, 14, 13]","[16, 15, 14, 13]","[100.0, 100.0, 100.0, 100.0]",1.0,16,15,1.0,1.0,1.0,1.0
1265,0.9735879898071289,0.9770696759223938,0.9728540182113647,76.05013329702523,"[21, 16, 13, 11]","[21, 20, 19, 18]","[100.0, 80.0, 68.42105263157895, 61.111111111111114]",1.0,21,20,1.0,0.7777777777777778,0.8947368421052632,0.8947368421052632
1266,0.9626170992851257,0.9569011330604553,0.9597505927085876,65.62309500870751,"[28, 23, 19, 15]","[29, 28, 27, 26]","[96.55172413793103, 82.14285714285714, 70.37037037037037, 57.69230769230769]",0.8711587695892689,29,33,0.8148148148148148,0.6923076923076924,0.8148148148148148,0.8148148148148148
1267,0.9562981128692627,0.9626954793930054,0.959486186504364,66.58303197871061,"[21, 17, 13, 9]","[23, 22, 21, 20]","[91.30434782608695, 77.27272727272727, 61.904761904761905, 45.0]",1.0,23,23,0.9,0.7368421052631579,0.8000000000000002,0.8000000000000002
