,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
23,0.9069536328315735,0.9246675968170166,0.9064635038375854,29.984782355393406,"[16, 10, 6, 3]","[25, 24, 23, 22]","[64.0, 41.666666666666664, 26.08695652173913, 13.636363636363637]",0.9607894391523232,25,26,0.5405405405405405,0.34285714285714286,0.4864864864864864,0.4864864864864864
24,0.9426426887512207,0.9513835906982422,0.9460292458534241,54.29186958796154,"[16, 13, 10, 6]","[21, 20, 19, 18]","[76.19047619047619, 65.0, 52.63157894736842, 33.333333333333336]",1.0,21,18,0.7272727272727272,0.5806451612903226,0.606060606060606,0.606060606060606
25,0.907505989074707,0.9045775532722473,0.9060394763946533,24.60956024787771,"[25, 12, 4, 2]","[29, 28, 27, 26]","[86.20689655172414, 42.857142857142854, 14.814814814814815, 7.6923076923076925]",0.9661049965255963,29,30,0.7636363636363636,0.3773584905660378,0.5490196078431373,0.5490196078431373
26,0.9422376751899719,0.876193642616272,0.9044603109359741,24.23861094838519,"[15, 10, 7, 4]","[17, 16, 15, 14]","[88.23529411764706, 62.5, 46.666666666666664, 28.571428571428573]",0.4654708140240617,17,30,0.65,0.4,0.6,0.6
27,0.9175850749015808,0.9193261861801147,0.9184548258781433,38.53856918030316,"[14, 9, 5, 2]","[17, 16, 15, 14]","[82.3529411764706, 56.25, 33.333333333333336, 14.285714285714286]",1.0,17,17,0.8148148148148148,0.64,0.8148148148148148,0.8148148148148148
28,0.9575756192207336,0.9715707302093506,0.9645224213600159,80.67164145199774,"[16, 14, 12, 9]","[17, 16, 15, 14]","[94.11764705882354, 87.5, 80.0, 64.28571428571429]",1.0,17,16,0.9655172413793104,0.7407407407407408,0.8275862068965518,0.8275862068965518
29,0.9667210578918457,0.9501267671585083,0.9583520889282227,56.75001761639643,"[15, 11, 9, 8]","[18, 17, 16, 15]","[83.33333333333333, 64.70588235294117, 56.25, 53.333333333333336]",0.8948393168143697,18,20,0.7428571428571428,0.6060606060606061,0.6857142857142857,0.6857142857142857
30,0.9327008724212646,0.9221670627593994,0.9274041056632996,61.18600372819195,"[34, 26, 20, 14]","[37, 36, 35, 34]","[91.89189189189189, 72.22222222222223, 57.142857142857146, 41.1764705882353]",0.9733349348192527,37,38,0.8115942028985507,0.5970149253731343,0.6388888888888888,0.6388888888888888
31,1.0,1.0,1.0,100.00000000000004,"[15, 14, 13, 12]","[15, 14, 13, 12]","[100.0, 100.0, 100.0, 100.0]",1.0,15,15,1.0,1.0,1.0,1.0
32,0.9770877361297607,0.9390274286270142,0.9576795697212219,60.959043566186146,"[31, 25, 22, 19]","[32, 31, 30, 29]","[96.875, 80.64516129032258, 73.33333333333333, 65.51724137931035]",0.7788007830714049,32,40,0.8571428571428572,0.7213114754098361,0.7936507936507937,0.7936507936507937
33,0.9372100830078125,0.9273132085800171,0.9259026646614075,54.68674556294573,"[16, 13, 8, 5]","[19, 18, 17, 16]","[84.21052631578948, 72.22222222222223, 47.05882352941177, 31.25]",1.0,19,18,0.6666666666666666,0.47058823529411764,0.611111111111111,0.611111111111111
34,0.9700022339820862,0.9634921550750732,0.9616665244102478,71.95497009746205,"[19, 15, 12, 9]","[19, 18, 17, 16]","[100.0, 83.33333333333333, 70.58823529411765, 56.25]",0.9487294800164372,19,20,0.9090909090909091,0.7741935483870969,0.9090909090909091,0.9090909090909091
35,0.9675074815750122,0.9304239749908447,0.9461432099342346,88.31219854386386,"[11, 10, 9, 7]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 87.5]",0.9131007162822624,11,12,0.8571428571428571,0.8421052631578948,0.8571428571428571,0.8571428571428571
36,0.8921711444854736,0.8898717164993286,0.8910199999809265,41.0061876889425,"[11, 5, 4, 3]","[13, 12, 11, 10]","[84.61538461538461, 41.666666666666664, 36.36363636363637, 30.0]",0.925961078642316,13,14,0.8,0.34782608695652173,0.5599999999999999,0.5599999999999999
37,0.9424946308135986,0.9508753418922424,0.946666419506073,58.0071841854459,"[25, 19, 15, 12]","[31, 30, 29, 28]","[80.64516129032258, 63.333333333333336, 51.724137931034484, 42.857142857142854]",1.0,31,29,0.736842105263158,0.5614035087719298,0.711864406779661,0.711864406779661
38,0.9445792436599731,0.947713315486908,0.9461436867713928,61.620299430906265,"[29, 22, 17, 13]","[32, 31, 30, 29]","[90.625, 70.96774193548387, 56.666666666666664, 44.827586206896555]",0.9692332344763441,32,33,0.793103448275862,0.6071428571428571,0.793103448275862,0.793103448275862
39,0.9387986063957214,0.9099306464195251,0.9241392016410828,53.7284965911771,"[7, 5, 4, 3]","[10, 9, 8, 7]","[70.0, 55.55555555555556, 50.0, 42.857142857142854]",1.0,10,8,0.6,0.5555555555555556,0.6,0.6
40,0.9207497835159302,0.9270778298377991,0.9239029288291931,33.70129264673145,"[15, 10, 5, 2]","[20, 19, 18, 17]","[75.0, 52.63157894736842, 27.77777777777778, 11.764705882352942]",1.0,20,20,0.6666666666666666,0.35714285714285715,0.6,0.6
41,0.9838014841079712,0.9795819520950317,0.9816871881484985,66.33282733691851,"[19, 13, 10, 9]","[19, 18, 17, 16]","[100.0, 72.22222222222223, 58.8235294117647, 56.25]",0.9487294800164372,19,20,1.0,0.8235294117647058,0.8333333333333334,0.8333333333333334
