,med_scores,record_idx,f1_scores
3724,26.56,15829,1.0
3726,26.56,15829,1.0
3740,13.0,14765,0.0
3742,20.5,14765,0.0
3744,13.0,14765,0.0
3788,6.5,14921,1.0
3896,10.0,15089,1.0
3898,10.0,15089,1.0
3900,10.0,15089,1.0
3922,21.166666666666668,16072,0.8333333333333334
3924,21.11111111111111,16072,0.6666666666666666
3926,21.055555555555557,16072,0.6666666666666666
3978,14.833333333333334,15484,0.0
4010,24.72,15888,0.8000000000000002
4012,24.4,15888,0.6666666666666665
4014,24.4,15888,1.0
4032,23.55,15945,0.888888888888889
4034,26.35,15945,0.4444444444444445
4336,0.0,14682,1.0
4338,0.0,14682,1.0
4340,20.0,15439,1.0
4342,20.0,15439,1.0
4344,20.0,15439,1.0
4368,0.0,14882,1.0
4370,38.0,14882,0.0
4372,30.0,14882,0.0
4516,0.0,14672,1.0
4518,0.0,14672,1.0
4520,0.0,14672,1.0
4590,0.0,14520,1.0
4604,0.0,14766,1.0
4606,0.0,14766,1.0
4658,13.5,15156,1.0
4660,13.5,15156,1.0
4662,13.5,15156,1.0
4692,21.083333333333332,15555,0.28571428571428575
4694,18.95,15555,0.6666666666666665
4740,17.0,15094,1.0
4742,17.0,15094,1.0
4744,17.0,15094,1.0
4762,21.305555555555557,16052,0.8333333333333334
4764,21.238095238095237,16052,0.7692307692307692
4892,30.22222222222222,15330,0.3333333333333333
4894,30.22222222222222,15330,0.3333333333333333
4896,29.555555555555557,15330,0.3333333333333333
4986,18.0,15176,1.0
4988,18.0,15176,1.0
4990,18.0,15176,1.0
5126,25.5625,15771,0.5
5128,25.5625,15771,0.5
5130,25.5625,15771,0.5
5146,13.5,15071,0.5
5148,13.75,15071,0.0
5150,13.75,15071,0.0
5172,14.0,14929,1.0
5174,15.75,14929,0.5
5176,14.0,14929,1.0
5200,9.5,15055,1.0
5202,16.25,15055,0.5
5204,9.5,15055,1.0
5248,0.0,14685,1.0
5250,0.0,14685,1.0
5276,15.083333333333334,15673,0.8571428571428571
5278,15.1875,15673,0.75
5280,15.1875,15673,0.75
5378,28.75,15526,0.75
5380,28.8125,15526,0.5
5410,34.0,15189,0.8
5412,32.22222222222222,15189,1.0
5414,32.888888888888886,15189,0.6666666666666666
5420,22.0,15097,1.0
5422,22.0,15097,1.0
5442,13.5,15146,0.5
5444,16.0,15146,0.0
5446,16.0,15146,0.5
5486,15.0,14851,0.0
5488,15.0,14851,0.0
5490,16.5,14851,0.0
5676,17.28,16006,1.0
5678,17.84,16006,0.8000000000000002
5680,17.28,16006,1.0
5728,19.555555555555557,15308,0.6666666666666666
5730,21.0,15308,0.6666666666666666
5732,26.555555555555557,15308,0.0
5746,9.555555555555555,15373,1.0
5748,13.0,15373,0.4
5750,9.555555555555555,15373,1.0
5924,22.36111111111111,16060,0.5
5926,21.833333333333332,16060,0.3636363636363636
