,med_scores,record_idx,f1_scores
40390,8.5,15165,1.0
40391,8.0,15166,1.0
40392,8.0,15166,1.0
40393,8.0,15166,1.0
40394,9.0,15167,0.6666666666666666
40395,9.0,15167,1.0
40396,9.0,15167,0.6666666666666666
40397,14.0,15168,1.0
40398,14.0,15168,1.0
40399,11.0,15169,1.0
40400,11.0,15169,1.0
40401,11.0,15169,1.0
40402,45.0,15170,0.0
40403,60.0,15170,0.0
40404,43.75,15170,0.0
40405,15.75,15171,0.5
40406,14.5,15171,0.5
40407,13.5,15171,0.6666666666666666
40408,8.0,15172,1.0
40409,8.25,15172,0.5
40410,8.25,15172,0.5
40411,25.5,15173,0.5
40412,25.5,15173,0.5
40413,25.5,15173,0.5
40414,10.5,15174,1.0
40415,10.5,15174,0.6666666666666666
40416,19.5,15174,0.0
40417,21.5,15175,1.0
40418,21.5,15175,1.0
40419,18.0,15176,1.0
40420,18.0,15176,0.5
40421,18.0,15176,0.5
40422,16.5,15177,1.0
40423,16.0,15178,1.0
40424,16.0,15178,1.0
40425,15.5,15179,1.0
40426,15.5,15179,1.0
40427,15.5,15179,1.0
40428,15.0,15180,1.0
40429,15.0,15180,1.0
40430,17.333333333333332,15181,1.0
40431,17.333333333333332,15181,0.6666666666666666
40432,14.444444444444445,15182,0.6666666666666666
40433,14.11111111111111,15182,0.6666666666666666
40434,14.0,15182,1.0
40435,25.88888888888889,15183,0.6666666666666666
40436,28.333333333333332,15183,0.4
40437,31.0,15184,0.0
40438,20.333333333333332,15184,0.0
40439,15.777777777777779,15184,1.0
40440,19.333333333333332,15185,1.0
40441,19.333333333333332,15185,1.0
40442,19.333333333333332,15185,1.0
40443,28.666666666666668,15186,1.0
40444,36.0,15186,0.0
40445,32.888888888888886,15187,0.6666666666666666
40446,27.88888888888889,15187,0.6666666666666666
40447,13.555555555555555,15188,0.3333333333333333
40448,34.0,15189,0.8
40449,32.22222222222222,15189,1.0
40450,32.888888888888886,15189,0.6666666666666666
40451,12.444444444444445,15190,1.0
40452,12.666666666666666,15190,0.3333333333333333
40453,12.555555555555555,15190,0.6666666666666666
40454,33.333333333333336,15191,1.0
40455,33.333333333333336,15191,1.0
40456,31.0,15191,0.8
40457,17.77777777777778,15192,0.6666666666666666
40458,18.0,15192,0.3333333333333333
40459,17.77777777777778,15192,0.6666666666666666
40460,17.88888888888889,15193,0.3333333333333333
40461,17.77777777777778,15193,0.3333333333333333
40462,18.0,15193,0.3333333333333333
40463,18.666666666666668,15194,0.6666666666666666
40464,16.0,15194,1.0
40465,15.555555555555555,15195,1.0
40466,15.555555555555555,15195,1.0
40467,15.88888888888889,15195,0.6666666666666666
40468,20.77777777777778,15196,0.6666666666666666
40469,21.333333333333332,15196,1.0
40470,22.833333333333332,15196,0.5714285714285715
40471,29.11111111111111,15197,1.0
40472,29.11111111111111,15197,1.0
40473,40.666666666666664,15198,0.3333333333333333
40474,40.833333333333336,15198,0.28571428571428575
40475,36.666666666666664,15198,0.0
40476,31.333333333333332,15199,0.8571428571428571
40477,29.333333333333332,15199,1.0
40478,29.666666666666668,15199,0.6666666666666666
40479,26.77777777777778,15200,0.3333333333333333
40480,24.22222222222222,15200,1.0
40481,21.555555555555557,15201,0.6666666666666666
40482,18.77777777777778,15201,0.6666666666666666
40483,22.833333333333332,15202,0.0
40484,19.333333333333332,15202,0.8
40485,19.333333333333332,15202,0.8
40486,30.166666666666668,15203,0.4
40487,30.166666666666668,15203,0.4
40488,30.0,15203,0.8
40489,9.0,15204,0.8
40490,13.166666666666666,15204,0.4
40491,9.0,15204,0.8
40492,21.555555555555557,15205,1.0
40493,21.555555555555557,15205,1.0
40494,22.0,15205,0.6666666666666666
40495,15.666666666666666,15206,0.8
40496,15.666666666666666,15206,0.8
40497,21.77777777777778,15207,0.6666666666666666
40498,21.555555555555557,15207,1.0
40499,23.11111111111111,15207,0.3333333333333333
40500,17.333333333333332,15208,0.8
40501,17.444444444444443,15208,0.6666666666666666
40502,21.666666666666668,15208,0.6666666666666666
40503,14.222222222222221,15209,1.0
40504,14.222222222222221,15209,1.0
40505,20.88888888888889,15209,0.0
40506,14.0,15210,1.0
40507,14.0,15210,1.0
40508,23.833333333333332,15211,0.4
40509,19.833333333333332,15211,0.8
40510,28.5,15211,0.4
40511,17.333333333333332,15212,1.0
40512,17.333333333333332,15212,1.0
40513,19.333333333333332,15212,0.6666666666666666
40514,19.333333333333332,15213,1.0
40515,20.666666666666668,15213,0.6666666666666666
40516,19.333333333333332,15213,0.6666666666666666
40517,22.11111111111111,15214,0.6666666666666666
40518,23.11111111111111,15214,1.0
40519,23.0,15214,0.6666666666666666
40520,24.666666666666668,15215,0.6666666666666666
40521,24.666666666666668,15215,0.6666666666666666
40522,14.222222222222221,15216,1.0
40523,15.333333333333334,15216,0.8
40524,15.333333333333334,15216,0.8
40525,6.888888888888889,15217,1.0
40526,7.166666666666667,15217,0.8
40527,7.166666666666667,15217,0.8
40528,10.166666666666666,15218,0.4
40529,10.0,15218,0.6666666666666666
40530,9.5,15218,0.8
40531,17.11111111111111,15219,0.6666666666666666
40532,18.11111111111111,15219,0.6666666666666666
40533,16.333333333333332,15219,0.8571428571428571
40534,20.333333333333332,15220,0.4
40535,23.444444444444443,15220,0.6666666666666666
40536,25.11111111111111,15220,0.3333333333333333
40537,22.88888888888889,15221,1.0
40538,22.88888888888889,15221,1.0
40539,19.5,15221,0.8
40540,24.555555555555557,15222,0.6666666666666666
40541,27.11111111111111,15222,0.6666666666666666
40542,24.555555555555557,15222,0.6666666666666666
40543,14.11111111111111,15223,0.6666666666666666
40544,14.11111111111111,15223,0.6666666666666666
40545,13.555555555555555,15223,1.0
40546,14.11111111111111,15224,0.6666666666666666
40547,13.777777777777779,15224,1.0
40548,13.777777777777779,15224,1.0
40549,20.22222222222222,15225,1.0
40550,20.22222222222222,15225,1.0
40551,20.22222222222222,15225,1.0
40552,6.555555555555555,15226,0.6666666666666666
40553,6.444444444444445,15226,0.6666666666666666
40554,6.555555555555555,15226,0.6666666666666666
40555,19.11111111111111,15227,1.0
40556,19.11111111111111,15227,1.0
40557,19.11111111111111,15227,1.0
40558,17.833333333333332,15228,0.8
40559,21.11111111111111,15228,1.0
40560,21.22222222222222,15228,0.6666666666666666
40561,21.11111111111111,15229,1.0
40562,17.5,15229,0.8
40563,21.11111111111111,15229,1.0
40564,23.555555555555557,15230,0.6666666666666666
40565,23.88888888888889,15230,0.6666666666666666
40566,23.88888888888889,15230,0.6666666666666666
40567,22.22222222222222,15231,0.6666666666666666
40568,23.555555555555557,15231,0.3333333333333333
40569,23.333333333333332,15231,0.3333333333333333
40570,33.666666666666664,15232,0.0
40571,31.77777777777778,15232,0.0
40572,22.88888888888889,15232,0.6666666666666666
40573,28.666666666666668,15233,0.8
40574,27.77777777777778,15233,1.0
40575,28.666666666666668,15233,0.8
40576,20.333333333333332,15234,0.8
40577,20.333333333333332,15234,0.8
40578,20.333333333333332,15234,0.8
40579,13.0,15235,0.5
40580,12.666666666666666,15235,0.8
40581,12.444444444444445,15235,0.6666666666666666
40582,24.88888888888889,15236,0.3333333333333333
40583,27.11111111111111,15237,0.6666666666666666
40584,27.666666666666668,15237,0.6666666666666666
40585,24.5,15237,0.4
40586,25.0,15237,0.8
40587,16.666666666666668,15238,1.0
40588,16.666666666666668,15238,1.0
40589,16.666666666666668,15238,1.0
40590,16.666666666666668,15238,1.0
40591,16.666666666666668,15239,1.0
40592,16.666666666666668,15239,1.0
40593,16.444444444444443,15239,0.6666666666666666
40594,19.555555555555557,15240,0.6666666666666666
40595,20.555555555555557,15240,0.6666666666666666
40596,24.444444444444443,15240,0.6666666666666666
40597,16.22222222222222,15241,1.0
40598,16.22222222222222,15241,1.0
40599,19.0,15242,0.3333333333333333
40600,16.0,15243,1.0
40601,16.0,15243,1.0
40602,11.88888888888889,15244,0.3333333333333333
40603,11.88888888888889,15244,0.0
40604,12.0,15244,0.6666666666666666
40605,12.444444444444445,15245,0.6666666666666666
40606,10.666666666666666,15245,1.0
40607,10.666666666666666,15245,1.0
40608,16.22222222222222,15246,1.0
40609,17.5,15246,0.4
40610,16.22222222222222,15246,1.0
40611,12.333333333333334,15247,0.8
40612,12.333333333333334,15247,0.8
40613,16.666666666666668,15248,0.8
40614,16.666666666666668,15248,1.0
40615,16.666666666666668,15248,0.8
40616,12.777777777777779,15249,0.6666666666666666
40617,12.666666666666666,15249,1.0
40618,13.5,15249,0.4
40619,18.22222222222222,15250,1.0
40620,16.5,15250,0.4
40621,14.444444444444445,15251,1.0
40622,15.0,15251,0.8571428571428571
40623,16.0,15251,0.3333333333333333
40624,16.77777777777778,15252,0.6666666666666666
40625,16.77777777777778,15252,0.6666666666666666
40626,16.77777777777778,15252,0.6666666666666666
40627,14.222222222222221,15253,0.3333333333333333
40628,12.666666666666666,15253,1.0
40629,12.666666666666666,15253,1.0
40630,24.555555555555557,15254,0.0
40631,15.333333333333334,15254,0.6666666666666666
40632,16.22222222222222,15254,0.6666666666666666
40633,18.11111111111111,15255,0.6666666666666666
40634,18.11111111111111,15255,0.6666666666666666
40635,26.333333333333332,15255,0.0
40636,22.22222222222222,15256,1.0
40637,22.666666666666668,15256,0.0
40638,22.22222222222222,15256,1.0
40639,23.22222222222222,15257,0.6666666666666666
40640,25.11111111111111,15257,1.0
40641,23.555555555555557,15257,0.6666666666666666
40642,16.88888888888889,15258,1.0
40643,16.0,15258,0.6666666666666666
40644,17.666666666666668,15258,0.8
40645,15.666666666666666,15259,0.3333333333333333
40646,13.444444444444445,15259,0.6666666666666666
40647,12.0,15260,0.6666666666666666
40648,12.0,15260,0.6666666666666666
40649,10.444444444444445,15260,0.6666666666666666
40650,16.666666666666668,15261,0.3333333333333333
40651,16.0,15261,0.4
40652,18.333333333333332,15261,0.3333333333333333
40653,18.5,15262,0.8
40654,18.5,15262,0.8
40655,20.22222222222222,15263,0.3333333333333333
40656,18.555555555555557,15263,0.0
40657,18.333333333333332,15263,0.8
40658,20.22222222222222,15264,0.3333333333333333
40659,19.77777777777778,15264,1.0
40660,20.22222222222222,15264,0.3333333333333333
40661,16.0,15265,1.0
